TreeOrder	Order	Family	Genus	ID	Repeat_BUSCOs	Accession	Tech_coarse	Tech_fine	Assembly_Length	Log10_Length	Contig_N50	Log10_N50	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	"BUSCO_Sum (Single, Dup, Frag, Missing)"	LINEs_bases	LINEs_proportion	SINEs_bases	SINEs_proportion	LTRs_bases	LTRs_proportion	DNA_trans_bases	DNA_trans_proportion	tandem_repeats_bases	tandem_repeats_proportion	other_repeats_bases	other_repeats_proportion	unclassified_bases	unclassified_proportion	unclassified_prop_reps	all_repeats_bases	all_repeats_proportion	assembly_length	unique_low_repeat_bases	unique_low_repeat_proportion	TE_BUSCOs	empties																																					
11	Diptera	Drosophilidae	Drosophila	392	3	GCA_008042815.1	short	short	151823105	8.18	106114	5.03	98	1.2	99.2	0.992	0	0.8	100	3096325	0.0204	3295	0	5893249	0.0388	2245264	0.0148	6319863	0.0417	8962414	0.059	1954296	0.0128	0.068632702	28474706	0.187551862	151823105	123348399	0.812448138	YES	3																																					
12	Diptera	Drosophilidae	Drosophila	448	6	GCA_008042575.1	short	short	196825890	8.29	32759	4.52	91.6	7.2	98.8	0.988	0.4	0.8	100	7299016	0.0371	12467	0.0001	13418894	0.0682	5794119	0.0295	7497977	0.0381	5507663	0.0279	5290843	0.0269	0.118043896	44820979	0.227718919	196825890	152004911	0.772281081	YES	6																																					
13	Diptera	Drosophilidae	Drosophila	393	7	GCA_008042715.1	short	short	151202254	8.18	73461	4.87	98.3	1	99.3	0.993	0.2	0.5	100	5431361	0.0359	121267	0.0008	7568988	0.0501	5321279	0.0352	5881998	0.0388	4197811	0.0278	3782061	0.0251	0.117074401	32304765	0.213652668	151202254	118897489	0.786347332	YES	7																																					
14	Diptera	Drosophilidae	Drosophila	414	9	GCA_008042735.1	short	short	164601511	8.22	24887	4.4	94.6	4.1	98.7	0.987	0.2	1.1	100	5853833	0.0356	41592	0.0002	7841058	0.0476	5798379	0.0353	6169831	0.0375	5009688	0.0304	4528518	0.0275	0.128494481	35242899	0.214110422	164601511	129358612	0.785889578	YES	9																																					
15	Diptera	Drosophilidae	Drosophila	418	12	GCA_000224215.2	short	short	164292578	8.22	209056	5.32	98	1.2	99.2	0.992	0.1	0.7	100	7269537	0.0442	13602	0.0001	10942372	0.0666	6458185	0.0393	5755258	0.0351	5456658	0.0331	4361886	0.0266	0.108349655	40257498	0.245035403	164292578	124035080	0.754964597	YES	12																																					
16	Diptera	Drosophilidae	Drosophila	394	3	GCA_008042475.1	short	short	152203088	8.18	348318	5.54	98	1.2	99.2	0.992	0.2	0.6	100	4636237	0.0305	19418	0.0001	4788276	0.0315	3374306	0.0222	5529798	0.0364	1306752	0.0085	3370230	0.0222	0.14637253	23025017	0.151278251	152203088	129178071	0.848721749	YES	3																																					
17	Diptera	Drosophilidae	Drosophila	446	9	GCA_008042795.1	short	short	189050820	8.28	77794	4.89	97.4	1.5	98.9	0.989	0.4	0.7	100	8249158	0.0437	34289	0.0002	11071762	0.0586	7800692	0.0413	5762711	0.0304	7594024	0.0403	12589812	0.0666	0.237085341	53102448	0.280889805	189050820	135948372	0.719110195	YES	9																																					
18	Diptera	Drosophilidae	Drosophila	431	9	GCA_008044355.1	short	short	182681050	8.26	66522	4.82	97	1.6	98.6	0.986	0.7	0.7	100	7636117	0.0418	12241	0.0001	10961195	0.06	7872969	0.0431	5926986	0.0325	6256444	0.0343	12075786	0.0661	0.237985266	50741738	0.277761366	182681050	131939312	0.722238634	YES	9																																					
19	Diptera	Drosophilidae	Drosophila	439	7	GCA_008044435.1	short	short	186167886	8.27	57257	4.76	97.5	1.4	98.9	0.989	0.6	0.5	100	8570611	0.046	66234	0.0004	12383455	0.0665	8450260	0.0454	5833829	0.0312	9242933	0.0496	12779129	0.0686	0.222918544	57326451	0.307928785	186167886	128841435	0.692071215	YES	7																																					
20	Diptera	Drosophilidae	Drosophila	432	14	GCA_008042535.1	short	short	180972673	8.26	55635	4.75	94.6	4.2	98.8	0.988	0.4	0.8	100	5247552	0.029	7513	0	6313177	0.0349	6562156	0.0363	6319331	0.0349	5787446	0.0319	9943026	0.055	0.247460833	40180201	0.222023581	180972673	140792472	0.777976419	YES	14																																					
21	Diptera	Drosophilidae	Drosophila	452	11	GCA_008042615.1	short	short	197420731	8.3	47547	4.68	97.3	1.5	98.8	0.988	0.4	0.8	100	9652854	0.0488	2043	0	13771858	0.0697	7609814	0.0385	6014507	0.0303	11692688	0.0593	12789620	0.0648	0.207848475	61533384	0.311686537	197420731	135887347	0.688313463	YES	11																																					
22	Diptera	Drosophilidae	Drosophila	451	13	GCA_014170255.1	long	oxford	198798533	8.3	1098508	6.04	93.4	1.8	95.2	0.952	0.6	4.2	100	12580993	0.0633	24653	0.0001	17667009	0.0889	7217362	0.0363	5900446	0.0296	12711127	0.064	12699818	0.0638	0.1845866	68801408	0.346086095	198798533	129997125	0.653913905	YES	13																																					
23	Diptera	Drosophilidae	Drosophila	388	5	GCA_008042775.1	short	short	149209000	8.17	93696	4.97	98.5	1	99.5	0.995	0.1	0.4	100	2293159	0.0154	3298	0	3864700	0.0259	1344399	0.009	6222494	0.0417	5306796	0.0356	3538385	0.0237	0.156751375	22573231	0.151285988	149209000	126635769	0.848714012	YES	5																																					
24	Diptera	Drosophilidae	Drosophila	389	7	GCA_004382185.1	long	pacbio	146754366	8.17	22909593	7.36	97.3	2.6	99.9	0.999	0.1	0	100	10666937	0.0726	5524	0	15546077	0.1059	1732241	0.0118	4943864	0.0336	2148352	0.0146	1336049	0.0091	0.036725786	36379044	0.247858379	146773509	110394465	0.752141621	YES	7																																					
25	Diptera	Drosophilidae	Drosophila	402	9	GCA_004382195.1	long	pacbio	154170815	8.19	19907079	7.3	98.8	1	99.8	0.998	0	0.2	100	13260298	0.086	3739	0	18609987	0.1207	1806294	0.0117	4902698	0.0318	3191547	0.0208	2768686	0.018	0.062157253	44543249	0.288886587	154189398	109646149	0.711113413	YES	9																																					
26	Diptera	Drosophilidae	Drosophila	395	4	GCA_004382145.1	long	pacbio	152298302	8.18	22120385	7.34	99.2	0.7	99.9	0.999	0	0.1	100	12325566	0.081	4674	0	18907585	0.1242	1732765	0.0114	4768473	0.0313	4568155	0.03	1269517	0.0083	0.029132908	43576735	0.286092053	152317181	108740446	0.713907947	YES	4																																					
27	Diptera	Drosophilidae	Drosophila	385	2	GCA_003401745.1	long	pacbio	140668701	8.15	22407379	7.35	98.9	1	99.9	0.999	0	0.1	100	8202310	0.0583	2241	0	14102816	0.1002	1919630	0.0136	6515477	0.0463	1162276	0.0083	590693	0.0042	0.018177718	32495443	0.230976807	140687039	108191596	0.769023193	YES	2																																					
28	Diptera	Drosophilidae	Drosophila	433	5	GCA_005876975.1	long	pacbio	182891478	8.26	5273554	6.72	92.8	5.6	98.4	0.984	0	1.6	100	6327041	0.0346	44573	0.0002	33070367	0.1809	8004105	0.0438	10430260	0.057	3746996	0.0206	6188488	0.0338	0.091259711	67811830	0.370776325	182891478	115079648	0.629223675	YES	5																																					
29	Diptera	Drosophilidae	Drosophila	391	7	GCA_003286155.2	long	pacbio	146538397	8.17	22146549	7.35	99.2	0.6	99.8	0.998	0.1	0.1	100	3722319	0.0254	447	0	19873961	0.1356	2012754	0.0137	4776515	0.0326	5314227	0.0363	1423224	0.0097	0.038337604	37123447	0.25333597	146538397	109414950	0.74666403	YES	7																																					
30	Diptera	Drosophilidae	Drosophila	419	3	GCA_000005975.1	none	none	165693946	8.22	115562	5.06	96.1	2.9	99	0.99	0.4	0.6	100	7531969	0.0455	16271	0.0001	21657139	0.1307	3120179	0.0189	5628568	0.034	5777152	0.0348	1780692	0.0107	0.039125795	45511970	0.274674912	165693946	120181976	0.725325088	YES	3																																					
31	Diptera	Drosophilidae	Drosophila	408	6	GCA_000236325.2	short	short	156942009	8.2	224458	5.35	98.6	0.6	99.2	0.992	0.2	0.6	100	4714481	0.0301	2804	0	14812535	0.0944	5235590	0.0334	6401448	0.0408	4469756	0.0284	1279027	0.0082	0.034647292	36915641	0.235218354	156942009	120026368	0.764781646	YES	6																																					
32	Diptera	Drosophilidae	Drosophila	481	13	GCA_014743375.1	long	pacbio	276444044	8.44	11590999	7.06	98.5	1.1	99.6	0.996	0.2	0.2	100	21467684	0.0777	241177	0.0009	47131331	0.1705	17514640	0.0633	9048591	0.0327	25012148	0.0904	17453312	0.0631	0.126593555	137868883	0.498722566	276444044	138575161	0.501277434	YES	13																																					
33	Diptera	Drosophilidae	Drosophila	479	0	GCF_013340165.1	long	pacbio	268012156	8.43	2609782	6.42	94.4	3.1	97.5	0.975	1.1	1.4	100	22082940	0.0824	54510	0.0002	53913710	0.2012	21094928	0.0787	8443626	0.0316	13072590	0.0488	16701891	0.0624	0.123384851	135364195	0.505067371	268012156	132647961	0.494932629	YES	0																																					
34	Diptera	Drosophilidae	Drosophila	467	6	GCA_005234255.1	long	pacbio	224092364	8.35	718147	5.86	95	4	99	0.99	0.3	0.7	100	16600304	0.0741	806	0	37354817	0.1667	12234596	0.0546	4908549	0.0219	12786646	0.0569	7384016	0.0329	0.080903227	91269734	0.40728623	224092364	132822630	0.59271377	YES	6																																					
35	Diptera	Drosophilidae	Drosophila	436	8	GCA_000224235.2	short	short	182106768	8.26	126259	5.1	98.1	1.4	99.5	0.995	0.1	0.4	100	6657075	0.0365	716666	0.0039	12066857	0.0662	7864063	0.0432	5350804	0.0293	9077093	0.0499	16196240	0.0889	0.279588746	57928798	0.318103488	182106768	124177970	0.681896512	YES	8																																					
36	Diptera	Drosophilidae	Drosophila	424	3	GCA_000224195.2	short	short	171267669	8.23	212818	5.33	99	0.4	99.4	0.994	0.1	0.5	100	5892588	0.0344	34788	0.0002	17606142	0.1028	2385696	0.0139	5181529	0.0304	1725492	0.0101	6125094	0.0358	0.157249936	38951329	0.227429551	171267669	132316340	0.772570449	YES	3																																					
37	Diptera	Drosophilidae	Drosophila	420	4	GCA_011057485.1	short	short	168095110	8.23	2852	3.46	98.5	0.5	99	0.99	0.2	0.8	100	5786350	0.0345	4829	0	19198364	0.1142	2440952	0.0146	3433236	0.0205	1199205	0.007	4906363	0.0292	0.132714526	36969299	0.219930842	168095110	131125811	0.780069158	YES	4																																					
38	Diptera	Drosophilidae	Drosophila	454	8	GCA_000236305.2	short	short	197375704	8.3	19484	4.29	96.8	1.8	98.6	0.986	0.6	0.8	100	10346579	0.0525	3905	0	22682080	0.115	5774277	0.0293	5125613	0.0259	10733855	0.0544	2515270	0.0128	0.043987418	57181579	0.28970931	197375704	140194125	0.71029069	YES	8																																					
39	Diptera	Drosophilidae	Drosophila	397	3	GCA_000220665.2	short	short	152439475	8.18	275894	5.44	98.2	1	99.2	0.992	0.1	0.7	100	4629456	0.0304	3269	0	8454994	0.0555	4773749	0.0314	4978547	0.0327	3951821	0.0259	2940250	0.0193	0.09889148	29732086	0.195041908	152439475	122707389	0.804958092	YES	3																																					
40	Diptera	Drosophilidae	Drosophila	464	10	GCA_003285975.3	long	pacbio	217108776	8.34	6212830	6.79	98.7	0.6	99.3	0.993	0.1	0.6	100	21533877	0.0992	2148	0	49536268	0.2281	8362593	0.0385	6022465	0.0277	10434770	0.048	9807375	0.0452	0.092785447	105699496	0.486850407	217108776	111409280	0.513149593	YES	10																																					
41	Diptera	Drosophilidae	Drosophila	417	11	GCA_000236285.2	short	short	167263958	8.22	149088	5.17	97.7	1.1	98.8	0.988	0.1	1.1	100	12068054	0.0722	2442	0	14499360	0.0866	7941310	0.0474	4937828	0.0295	7850219	0.0469	4279773	0.0256	0.082975129	51578986	0.3083688	167263958	115684972	0.6916312	YES	11																																					
42	Diptera	Drosophilidae	Drosophila	409	10	GCA_009870125.2	long	pacbio	163266851	8.21	30706867	7.49	98.1	1.4	99.5	0.995	0.1	0.4	100	9807963	0.06	3377	0	16771321	0.1027	2592510	0.0159	7950720	0.0487	4501227	0.0276	6637869	0.0406	0.137529696	48264987	0.295591067	163282969	115017982	0.704408933	YES	10																																					
43	Diptera	Drosophilidae	Drosophila	416	19	GCA_000001765.3	long	pacbio	164662283	8.22	26005469	7.42	95.5	2.4	97.9	0.979	1.2	0.9	100	8904121	0.0541	1684	0	15585520	0.0946	2826167	0.0171	7923946	0.0481	5922544	0.0359	5401262	0.0328	0.115993422	46565244	0.282792411	164662283	118097039	0.717207589	YES	19																																					
44	Diptera	Drosophilidae	Drosophila	449	11	GCA_003286085.2	long	pacbio	195512972	8.29	5212974	6.72	97.4	2.1	99.5	0.995	0.1	0.4	100	15689154	0.0802	4515	0	34499055	0.1764	3659178	0.0187	8237416	0.0422	7884566	0.0402	9738178	0.0498	0.122166931	79712062	0.40770728	195512972	115800910	0.59229272	YES	11																																					
45	Diptera	Drosophilidae	Drosophila	483	35	GCA_003369915.2	long	pacbio	287096000	8.46	11978448	7.08	84.6	14.7	99.3	0.993	0.2	0.5	100	34855096	0.1214	3921	0	64600581	0.2251	6811135	0.0237	9136432	0.0318	19438663	0.0677	17270203	0.0601	0.11353309	152116031	0.529843784	287096000	134979969	0.470156216	YES	35																																					
46	Diptera	Drosophilidae	Drosophila	438	15	GCA_008121275.1	long	oxford	184313494	8.27	5037799	6.7	95.8	1.7	97.5	0.975	0.1	2.4	100	12550905	0.0681	972	0	26675436	0.1447	5949888	0.0323	8154449	0.0442	4872656	0.0265	8846724	0.048	0.131940166	67051030	0.36378796	184313494	117262464	0.63621204	YES	15																																					
47	Diptera	Drosophilidae	Drosophila	445	24	GCA_008121215.1	long	pacbio	192660667	8.28	15319690	7.19	97.8	1.2	99	0.99	0	1	100	16955703	0.088	6861	0	24124485	0.1252	7653672	0.0397	9830526	0.051	5161082	0.0268	10909521	0.0566	0.146158234	74641850	0.387426511	192660667	118018817	0.612573489	YES	24																																					
48	Diptera	Drosophilidae	Drosophila	463	25	GCA_005876895.1	long	pacbio	219083522	8.34	17833963	7.25	97.3	1.5	98.8	0.988	0	1.2	100	17923570	0.0818	13064	0.0001	41872849	0.1911	8479356	0.0388	10559610	0.0482	9257056	0.0422	11918043	0.0544	0.119152372	100023548	0.456554409	219083522	119059974	0.543445591	YES	25																																					
49	Diptera	Drosophilidae	Drosophila	384	5	GCA_900245975.1	none	none	140632981	8.15	294367	5.47	98.7	0.6	99.3	0.993	0.3	0.4	100	3080017	0.0219	1213	0	2004787	0.0142	1599717	0.0114	6240297	0.0444	4470187	0.0317	14660599	0.1043	0.457331712	32056817	0.227913127	140653667	108596850	0.772086873	YES	5																																					
50	Diptera	Drosophilidae	Drosophila	380	5	GCA_903684685.1	none	none	126792960	8.1	22940839	7.36	98.6	0.7	99.3	0.993	0	0.7	100	1631890	0.0128	134383	0.001	1874429	0.0148	1733024	0.0137	6574028	0.0519	3615718	0.0285	3003195	0.0237	0.161751972	18566667	0.146432949	126792960	108226293	0.853567051	YES	5																																					
51	Diptera	Drosophilidae	Drosophila	444	19	GCA_009664405.1	long	oxford	192749618	8.28	2386451	6.38	93.9	0.7	94.6	0.946	0.5	4.9	100	15373869	0.0797	1776	0	26541995	0.1377	5345618	0.0277	8792509	0.0457	13740899	0.0713	7107156	0.0368	0.092416161	76903822	0.398983006	192749618	115845796	0.601016994	YES	19																																					
52	Diptera	Drosophilidae	Drosophila	435	12	GCA_002217835.1	short	short	181868570	8.26	114814	5.06	92.9	6.4	99.3	0.993	0.3	0.4	100	6742962	0.0371	22943	0.0001	9141753	0.0503	5313691	0.0292	9296958	0.0512	4495198	0.0246	6652809	0.0366	0.159668767	41666314	0.229101235	181868570	140202256	0.770898765	YES	12																																					
53	Diptera	Drosophilidae	Drosophila	472	13	GCA_000005925.1	none	none	235516348	8.37	180217	5.26	97.7	1.8	99.5	0.995	0.2	0.3	100	13538735	0.0575	3440	0	38760758	0.1646	7287646	0.0309	10719361	0.0455	11355009	0.0482	9361998	0.0398	0.102848643	91026947	0.386499484	235516348	144489401	0.613500516	YES	13																																					
54	Diptera	Drosophilidae	Drosophila	430	5	GCA_003285875.3	long	pacbio	177223868	8.25	3158326	6.5	97.3	1.4	98.7	0.987	0.1	1.2	100	6471168	0.0365	91509	0.0005	10527135	0.0594	4761306	0.0268	9412617	0.0531	11843036	0.0668	11467939	0.0648	0.210132844	54574710	0.307942212	177223868	122649158	0.692057788	YES	5																																					
55	Diptera	Drosophilidae	Drosophila	406	5	GCA_900465395.1	none	none	160223033	8.2	22571	4.35	95.5	1.3	96.8	0.968	1.9	1.3	100	2778309	0.0174	3121	0	4635245	0.0289	848682	0.0053	9993085	0.0624	9962230	0.0622	5014342	0.0313	0.150875279	33235014	0.20742969	160223033	126988019	0.79257031	YES	5																																					
56	Diptera	Drosophilidae	Drosophila	421	6	GCA_007989325.2	long	pacbio	169771745	8.23	5099607	6.71	98.3	1.2	99.5	0.995	0.1	0.4	100	6792806	0.04	3347	0	11712585	0.069	2074733	0.0123	9858329	0.058	8406647	0.0495	9039532	0.0532	0.188764116	47887979	0.282072727	169771745	121883766	0.717927273	YES	6																																					
57	Diptera	Drosophilidae	Drosophila	434	1	GCA_003086615.1	short	short	183585048	8.26	6978	3.84	95.5	0.9	96.4	0.964	1.5	2.1	100	2816988	0.0154	1308	0	8287562	0.0452	836654	0.0046	8903271	0.0485	8814607	0.0481	4987810	0.0272	0.143955819	34648200	0.188731056	183585048	148936848	0.811268944	YES	1																																					
58	Diptera	Drosophilidae	Drosophila	450	10	GCA_000005175.1	none	none	193826310	8.29	121517	5.08	97.8	1.2	99	0.99	0.1	0.9	100	5642949	0.0291	2258	0	13843097	0.0714	4035630	0.0208	16958069	0.0874	11013899	0.0568	4835250	0.0249	0.085836164	56331152	0.290626964	193826310	137495158	0.709373036	YES	10																																					
59	Diptera	Drosophilidae	Drosophila	386	5	GCA_001654025.1	short	short	141386800	8.15	15132	4.18	95	1	96	0.96	0.8	3.2	100	1220403	0.0087	2070	0	1129560	0.008	2067069	0.0146	11654071	0.0825	3239036	0.0228	2607833	0.0185	0.118970256	21920042	0.155035986	141386800	119466758	0.844964014	YES	5																																					
60	Diptera	Drosophilidae	Drosophila	390	1	GCA_001654015.2	short	short	147357603	8.17	26679	4.43	97.3	0.9	98.2	0.982	0.4	1.4	100	605028	0.0041	4357	0	1228279	0.0084	1323218	0.009	13953908	0.0947	2435130	0.0166	2942619	0.02	0.130826449	22492539	0.152639148	147357603	124865064	0.847360852	YES	1																																					
61	Diptera	Drosophilidae	Drosophila	401	10	GCA_003285905.2	long	pacbio	153741574	8.19	3367158	6.53	97	2.2	99.2	0.992	0.1	0.7	100	2818832	0.0184	2215	0	6106018	0.0397	2913036	0.019	12071640	0.0785	2560606	0.0166	3985478	0.026	0.130852351	30457825	0.198110532	153741574	123283749	0.801889468	YES	10																																					
62	Diptera	Drosophilidae	Drosophila	411	6	GCA_004149445.1	short	short	162543777	8.21	60665	4.78	97.8	1.2	99	0.99	0.1	0.9	100	3336999	0.0205	2831	0	3223624	0.0199	2793116	0.0172	9963686	0.0613	7436648	0.0457	5654585	0.0348	0.174462364	32411489	0.199401599	162543777	130132288	0.800598401	YES	6																																					
63	Diptera	Drosophilidae	Drosophila	407	5	GCA_004143825.1	short	short	156838486	8.2	49440	4.69	97.8	0.8	98.6	0.986	0.4	1	100	2855670	0.0182	1550	0	5565573	0.0355	2310932	0.0147	9270923	0.059	10620426	0.0677	6103330	0.039	0.166174659	36728404	0.234179792	156838486	120110082	0.765820208	YES	5																																					
64	Diptera	Drosophilidae	Drosophila	396	4	GCA_004143765.1	short	short	149951920	8.18	18202	4.26	97.7	1.2	98.9	0.989	0.4	0.7	100	768700	0.0051	2775	0	2482805	0.0166	1229319	0.0082	9668345	0.0645	6017477	0.0402	4023702	0.0269	0.16631594	24193123	0.161339201	149951920	125758797	0.838660799	YES	4																																					
65	Diptera	Drosophilidae	Drosophila	429	7	GCA_004143805.1	short	short	179073841	8.25	18538	4.27	95.4	2	97.4	0.974	0.7	1.9	100	3204904	0.0179	2682	0	3817974	0.0213	1816398	0.0102	8982553	0.0501	7419574	0.0414	6365001	0.0356	0.201366183	31609086	0.176514257	179073841	147464755	0.823485743	YES	7																																					
66	Diptera	Drosophilidae	Drosophila	403	4	GCA_004143845.1	short	short	154130906	8.19	144683	5.16	97.2	1	98.2	0.982	0.5	1.3	100	5805886	0.0377	5240	0	6659085	0.0432	1290499	0.0084	10805015	0.0701	689078	0.0045	3517143	0.0229	0.122242097	28771946	0.18667214	154130906	125358960	0.81332786	YES	4																																					
67	Diptera	Drosophilidae	Drosophila	455	5	GCA_000005155.1	none	none	200467819	8.3	91192	4.96	96.3	3.1	99.4	0.994	0.2	0.4	100	5761509	0.0287	1916	0	24706274	0.1233	2100879	0.0105	21077070	0.1052	3071154	0.0154	5410191	0.027	0.087079972	62128993	0.309920033	200467819	138338826	0.690079967	YES	5																																					
68	Diptera	Drosophilidae	Scaptomyza	461	13	GCA_003952975.1	short	short	214836881	8.33	58829	4.77	94.3	4.7	99	0.99	0.4	0.6	100	16083763	0.0749	664777	0.0031	13464492	0.0627	7650780	0.0356	7600341	0.0354	15428413	0.0718	14377764	0.0669	0.191015025	75270330	0.350360374	214836881	139566551	0.649639626	YES	13																																					
69	Diptera	Drosophilidae	Drosophila	382	1	GCA_002222885.1	short	short	137224182	8.14	3966	3.6	89.7	0.5	90.2	0.902	6.2	3.6	100	512855	0.0037	2228	0	857288	0.0063	850145	0.0062	7868072	0.0573	2651914	0.0193	3522382	0.0257	0.21656361	16264884	0.118527826	137224182	120959298	0.881472174	YES	1																																					
70	Diptera	Drosophilidae	Drosophila	381	0	GCA_005889595.1	short	short	131273702	8.12	3670	3.56	87.6	1.1	88.7	0.887	5.7	5.6	100	725539	0.0055	1014	0	806576	0.0062	834172	0.0064	7507223	0.0572	2961829	0.0226	4217266	0.0321	0.247294489	17053619	0.129908875	131273702	114220083	0.870091125	NO	600																																					
71	Diptera	Drosophilidae	Drosophila	413	9	GCA_009650485.1	long	pacbio	165830429	8.22	33427555	7.52	96.7	1.1	97.8	0.978	0.1	2.1	100	4615879	0.0279	2949	0	5254197	0.0316	3663507	0.0221	10641042	0.0641	8074704	0.0487	5712557	0.0345	0.150469691	37964835	0.228916123	165846051	127881216	0.771083877	YES	9																																					
72	Diptera	Drosophilidae	Drosophila	423	12	GCA_004354385.1	long	oxford	167978031	8.23	3071820	6.49	97.9	1.3	99.2	0.992	0.2	0.6	100	3123092	0.0186	14441	0.0001	3329561	0.0198	4643884	0.0276	9499939	0.0565	10383732	0.0618	13718608	0.0817	0.306812988	44713257	0.266159493	167994222	123280965	0.733840507	YES	12																																					
73	Diptera	Drosophilidae	Zaprionus	378	1	GCA_001752445.1	short	short	123674749	8.09	3365	3.53	90.3	1.2	91.5	0.915	4.5	4	100	833638	0.0067	2015	0	1341977	0.0109	752179	0.006	8030646	0.0649	1410928	0.0114	2822888	0.0228	0.18578634	15194271	0.122856696	123674749	108480478	0.877143304	YES	1																																					
74	Diptera	Drosophilidae	Drosophila	377	4	GCA_011750605.1	long	hi-c	118492362	8.07	1002992	6	96.3	1.2	97.5	0.975	0.5	2	100	2783406	0.0235	1784	0	1289355	0.0109	848952	0.0072	7471352	0.0631	1072964	0.0091	2213092	0.0187	0.141132926	15680905	0.132336842	118492362	102811457	0.867663158	YES	4																																					
